label,rep,flags,compile_ok,walltime_s,E_start,E_end,drift_pct,abs_drift_pct
O0,1,"-O0",1,113.7144,5000.0000,5010.7593,0.215186,0.215186
O1,1,"-O1",1,60.3625,5000.0000,5010.7593,0.215186,0.215186
O2,1,"-O2",1,59.5220,5000.0000,5010.7593,0.215186,0.215186
O3,1,"-O3",1,57.0240,5000.0000,5010.7593,0.215186,0.215186
O3_march,1,"-O3 -march=znver3",1,60.2509,5000.0000,5010.7593,0.215186,0.215186
O3_march_unroll,1,"-O3 -march=znver3 -funroll-loops",1,59.4154,5000.0000,5010.7593,0.215186,0.215186
O3_march_lto,1,"-O3 -march=znver3 -flto",1,60.1614,5000.0000,5010.7593,0.215186,0.215186
O3_native,1,"-O3 -march=native",1,60.3557,5000.0000,5010.7593,0.215186,0.215186
O3_ffast,1,"-O3 -march=znver3 -ffast-math",1,57.7420,5000.0000,5010.7593,0.215186,0.215186
Ofast,1,"-Ofast -march=znver3",1,63.6876,5000.0000,5010.7593,0.215186,0.215186
