ID,0,1
Time,2026-Jun-28 04:53:55,2026-Jun-28 04:53:55
API Call ID,1273,1283
Estimated Speedup [%],9.06,9.01
Runtime Improvement [us],"28,24","28,09"
Issues Detected [issue],4,4
Function Name,k_force,k_force
Mangled Name,_Z7k_forcePKdS0_PdS1_PKiPiS3_S3_S3_dddiiddddddS1_i,_Z7k_forcePKdS0_PdS1_PKiPiS3_S3_S3_dddiiddddddS1_i
Demangled Name,k_force(const double..,k_force(const double..
Original Demangled Name,"k_force(const double *, const double *, double *, double *, const int *, int *, const int *, const int *, const int *, double, double, double, int, int, double, double, double, double, double, double, double *, int)","k_force(const double *, const double *, double *, double *, const int *, int *, const int *, const int *, const int *, double, double, double, int, int, double, double, double, double, double, double, double *, int)"
Process,[1327807] cascade_cuda_bench_fp64,[1327807] cascade_cuda_bench_fp64
Thread ID [thread],1327807,1327807
Device Name,NVIDIA A100-SXM4-40GB,NVIDIA A100-SXM4-40GB
CUprogram,0x02728940,0x02728940
CUfunction,0x02769ab0,0x02769ab0
Grid Offset,"    0,    0,    0","    0,    0,    0"
Grid Size," 7811,    1,    1"," 7811,    1,    1"
Block Size [block],"  256,    1,    1","  256,    1,    1"
Grid Dimensions,3,3
Result Type,Kernel: SIMT,Kernel: SIMT
gpc__cycles_elapsed.max [cycle],341.050,341.158
gpu__time_duration.sum [us],"311,58","311,68"
sm__throughput.avg.pct_of_peak_sustained_elapsed [%],"45,17","44,92"
gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed [%],"37,47","37,45"
breakdown:gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,"dram__cycles_active.avg.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed","dram__cycles_active.avg.pct_of_peak_sustained_elapsed,fbpa__dram_sectors.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_access_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,gpu__compute_memory_request_throughput_internal_activity.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_reads.avg.pct_of_peak_sustained_elapsed,l1tex__data_bank_writes.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_lsu_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__data_pipe_tex_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__f_wavefronts.avg.pct_of_peak_sustained_elapsed,l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__lsuin_requests.avg.pct_of_peak_sustained_elapsed,l1tex__m_l1tex2xbar_req_cycles_active.avg.pct_of_peak_sustained_elapsed,l1tex__m_xbar2l1tex_read_sectors.avg.pct_of_peak_sustained_elapsed,l1tex__tex_writeback_active.avg.pct_of_peak_sustained_elapsed,l1tex__texin_sm2tex_req_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_atomic_input_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__d_sectors.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_device.avg.pct_of_peak_sustained_elapsed,lts__d_sectors_fill_sysmem.avg.pct_of_peak_sustained_elapsed,lts__lts2xbar_cycles_active.avg.pct_of_peak_sustained_elapsed,lts__t_sectors.avg.pct_of_peak_sustained_elapsed,lts__t_tag_requests.avg.pct_of_peak_sustained_elapsed,lts__xbar2lts_cycles_active.avg.pct_of_peak_sustained_elapsed"
