blocking_no_resort_1pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.7269,5.3923,0.2512,0.5617,1.0085,0.9346,0.0054,1.9431

blocking_no_resort_8pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.7388,5.2821,0.2530,0.5770,1.0766,0.9332,0.0048,2.0097

blocking_resort300_1pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.8225,5.3281,0.2570,0.5342,1.1237,1.0216,0.0066,2.1453

blocking_resort300_8pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.7981,5.3490,0.2557,0.5762,1.0433,0.9731,0.0055,2.0164

non_blocking_no_resort_1pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.8403,5.5820,0.2428,0.5080,1.2427,1.1520,0.0111,2.3947

non_blocking_no_resort_8pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.5930,5.2802,0.2450,0.5118,0.9434,0.8948,0.0051,1.8381

non_blocking_resort300_1pka
ranks,walltime,force,cells,hash,halo,migrate,energy,comm
128,6.5564,5.2428,0.2445,0.5241,0.9453,0.9260,0.0098,1.8713

