ranks,walltime,force,cells,hash,halo,migrate,energy,comm
1,528.3787,474.1727,10.1175,27.8945,0.0018,2.6507,0.3028,2.6525
2,288.1562,248.0253,6.1438,24.2928,1.3745,8.8267,0.1596,10.2012
4,164.4685,133.6778,4.6720,17.9747,2.0749,5.6841,0.0823,7.7590
8,112.1114,76.9273,4.0874,27.9316,3.0703,4.6845,0.0461,7.7547
16,61.7420,41.8060,2.6166,15.3372,15.6774,15.6109,0.0247,31.2883
32,20.6621,15.5821,0.5912,3.9125,3.3198,6.1061,0.0137,9.4259
64,6.2817,5.2967,0.2350,0.5217,0.6953,0.7823,0.0047,1.4776
128,3.0943,2.5669,0.1332,0.1798,0.3313,0.5056,0.0040,0.8370
1,536.8531,482.6743,10.0506,28.0498,0.0012,2.6517,0.3048,2.6529
2,283.1125,243.5918,5.8979,21.2963,1.4069,4.2462,0.1512,5.6531
4,164.5707,134.3283,4.7924,18.1433,2.6865,6.8832,0.0821,9.5697
8,110.4405,76.4858,3.7930,27.5446,2.9910,4.6342,0.0468,7.6252
16,60.1001,40.8095,2.2889,11.5631,11.1132,14.5152,0.0348,25.6284
32,19.7169,15.6847,0.6022,3.4599,2.3871,4.0210,0.0119,6.4081
64,8.4127,7.2437,0.2277,0.5032,2.7791,2.9595,0.0127,5.7386
128,3.2271,2.5468,0.1317,0.1785,0.4126,0.5966,0.0032,1.0091
1,525.9729,471.1258,10.1334,27.9020,0.0023,3.1898,0.2981,3.1921
2,282.1401,242.1823,5.7063,21.1322,1.5366,3.3947,0.1560,4.9313
4,163.8392,131.7840,4.7274,18.0565,1.4768,5.2922,0.0820,6.7690
8,111.1112,75.1522,4.5407,27.8576,1.8906,4.6389,0.0465,6.5295
16,58.6624,40.6616,2.2691,12.3196,12.0010,15.1219,0.0240,27.1229
32,19.6100,14.4863,0.5691,3.8090,3.1343,4.4167,0.0141,7.5510
64,6.1157,5.0994,0.2361,0.4804,0.5439,0.6484,0.0041,1.1923
128,3.1164,2.5350,0.1318,0.1957,0.3273,0.4904,0.0039,0.8177
