ranks,walltime,force,cells,hash,halo,migrate,energy,comm
1,525.8044,470.6276,10.2063,27.9572,0.0024,3.1854,0.3008,3.1878
2,285.2832,245.3337,5.8934,21.9917,1.5217,5.9696,0.1572,7.4913
4,163.4967,132.4390,4.7437,18.0110,1.7663,6.8460,0.0832,8.6122
8,111.1606,74.0865,4.5493,27.8420,1.3546,5.9197,0.0461,7.2743
16,58.9480,41.3605,2.0799,12.0352,10.4490,12.7693,0.0252,23.2183
32,20.0835,14.6201,0.5520,3.8528,3.6516,5.8085,0.0153,9.4601
64,6.1480,5.0488,0.2306,0.5070,0.5525,0.6751,0.0055,1.2275
128,3.0503,2.5275,0.1311,0.1783,0.2930,0.4871,0.0042,0.7802
1,528.3563,471.3645,10.1434,30.3350,0.0022,3.1827,0.3007,3.1850
2,291.2387,253.9841,6.0926,21.6158,1.5287,14.4169,0.1566,15.9456
4,164.0562,133.6869,4.7632,17.9677,2.8506,6.7316,0.0827,9.5822
8,110.9732,73.9618,4.2968,28.2338,1.7981,5.4747,0.0457,7.2729
16,62.1858,42.5373,2.4818,14.6777,16.1757,16.4846,0.0243,32.6604
32,19.3638,15.1695,0.5428,3.8927,3.1804,4.3194,0.0133,7.4998
64,6.2538,5.1866,0.2280,0.4938,0.7104,0.8283,0.0058,1.5387
128,3.1243,2.5409,0.1590,0.1925,0.3497,0.5234,0.0039,0.8730
1,524.1922,469.4097,10.1612,27.9719,0.0023,3.1883,0.2988,3.1906
2,284.4634,246.4873,5.8377,21.1882,1.5269,7.9128,0.1535,9.4396
4,163.8917,133.1481,4.7861,17.9085,2.3874,7.2768,0.0826,9.6642
8,110.8459,75.6322,4.4803,27.7395,2.4791,5.4034,0.0457,7.8825
16,58.9126,41.0719,2.0671,11.0000,9.9108,12.4388,0.0297,22.3495
32,19.6645,15.1494,0.5416,3.5486,2.6189,5.3944,0.0121,8.0133
64,6.1704,5.1165,0.2327,0.4764,0.5705,0.7623,0.0059,1.3328
128,3.0507,2.5342,0.1334,0.1819,0.2937,0.4786,0.0030,0.7723
